INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,MULTIPLE_OFFENSE,MULTIPLE_BIAS,VICTIM_TYPES_1,VICTIM_TYPES_2,VICTIM_TYPES_3,Business,Financial Institution,Government,Individual,Law Enforcement Officer,Other,Religious Organization,Society/Public,Unknown,BIAS_DESC_1,BIAS_DESC_2,BIAS_DESC_3,BIAS_DESC_4,BIAS_DESC_5,Anti-American Indian or Alaska Native,Anti-Arab,Anti-Asian,Anti-Atheism/Agnosticism,Anti-Bisexual,Anti-Black or African American,Anti-Buddhist,Anti-Catholic,"Anti-Eastern Orthodox (Russian, Greek, Other)",Anti-Female,Anti-Gay (Male),Anti-Gender Non-Conforming,Anti-Heterosexual,Anti-Hindu,Anti-Hispanic or Latino,Anti-Islamic (Muslim),Anti-Jehovah's Witness,Anti-Jewish,Anti-Lesbian (Female),"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Anti-Male,Anti-Mental Disability,Anti-Mormon,"Anti-Multiple Races, Group","Anti-Multiple Religions, Group",Anti-Native Hawaiian or Other Pacific Islander,Anti-Other Christian,Anti-Other Race/Ethnicity/Ancestry,Anti-Other Religion,Anti-Physical Disability,Anti-Protestant,Anti-Sikh,Anti-Transgender,Anti-White
864279,2020,AK0010100,Anchorage,,City,AK,Alaska,Pacific,West,1C,"Cities from 250,000 thru 499,999",24-Jan-20,,,0,0,0,Unknown,Unknown,2,Arson;Burglary/Breaking & Entering,,Church/Synagogue/Temple/Mosque,M,S,Religious Organization,,,0,0,0,0,0,0,1,0,0,Anti-Other Christian,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1054279,2020,AK0010100,Anchorage,,City,AK,Alaska,Pacific,West,1C,"Cities from 250,000 thru 499,999",1-Jun-20,1,0,1,1,0,Unknown,Unknown,1,Sexual Assault With An Object,1,Park/Playground,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Female,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1054280,2020,AK0010100,Anchorage,,City,AK,Alaska,Pacific,West,1C,"Cities from 250,000 thru 499,999",21-Jun-20,1,0,1,1,0,American Indian or Alaska Native,Not Hispanic or Latino,1,Aggravated Assault,1,Hotel/Motel/Etc.,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Black or African American,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1225414,2020,AK0010100,Anchorage,,City,AK,Alaska,Pacific,West,1C,"Cities from 250,000 thru 499,999",22-Sep-20,1,0,1,1,0,Unknown,Hispanic or Latino,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-White,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1225415,2020,AK0010100,Anchorage,,City,AK,Alaska,Pacific,West,1C,"Cities from 250,000 thru 499,999",17-Jul-20,1,0,1,1,0,White,Unknown,1,Aggravated Assault,1,Parking/Drop Lot/Garage,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Black or African American,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1274165,2020,AK0010100,Anchorage,,City,AK,Alaska,Pacific,West,1C,"Cities from 250,000 thru 499,999",16-Oct-20,1,0,0,0,0,Unknown,Unknown,1,Robbery,1,Field/Woods,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Gay (Male),,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
893434,2020,AK0010200,Fairbanks,,City,AK,Alaska,Pacific,West,4,"Cities from 25,000 thru 49,999",3-Jan-20,1,0,1,1,0,White,Not Hispanic or Latino,1,Aggravated Assault,1,Government/Public Building,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Transgender,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1052479,2020,AK0010300,Juneau,,City,AK,Alaska,Pacific,West,4,"Cities from 25,000 thru 49,999",4-May-20,1,0,0,0,0,Unknown,Unknown,1,Aggravated Assault,1,Parking/Drop Lot/Garage,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-American Indian or Alaska Native,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1218466,2020,AK0010300,Juneau,,City,AK,Alaska,Pacific,West,4,"Cities from 25,000 thru 49,999",14-Aug-20,2,0,1,1,0,White,Not Hispanic or Latino,2,Simple Assault,2,Highway/Road/Alley/Street/Sidewalk,S,S,Individual,,,0,0,0,1,0,0,0,0,0,"Anti-Multiple Races, Group",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1162372,2020,AK0013200,North Pole,,City,AK,Alaska,Pacific,West,7,"Cities under 2,500",1-Jun-20,0,1,3,0,3,White,Unknown,1,Aggravated Assault,1,Parking/Drop Lot/Garage,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Male,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
924792,2020,AL0010200,Birmingham,,City,AL,Alabama,East South Central,South,2,"Cities from 100,000 thru 249,999",1-Jun-20,2,0,1,1,0,White,Not Hispanic or Latino,2,Intimidation,2,Park/Playground,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Black or African American,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924794,2020,AL0010200,Birmingham,,City,AL,Alabama,East South Central,South,2,"Cities from 100,000 thru 249,999",12-Mar-20,1,0,2,2,0,White,Not Hispanic or Latino,1,Intimidation,1,Commercial/Office Building,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Islamic (Muslim),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321049,2020,AL0011200,Hoover,,City,AL,Alabama,East South Central,South,3,"Cities from 50,000 thru 99,999",3-Jun-20,1,0,0,,,Unknown,Unknown,1,Impersonation,1,Other/Unknown,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Sikh,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
924793,2020,AL0020100,Mobile,,City,AL,Alabama,East South Central,South,2,"Cities from 100,000 thru 249,999",4-Jun-20,0,1,2,0,2,Unknown,Not Hispanic or Latino,1,Simple Assault,1,Other/Unknown,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Islamic (Muslim),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
